楼栋,房间,面积,实际面积,得房率,均价,总价
21幢,203,110.29,81.79,74.16%,20770,230万
21幢,303,110.29,81.79,74.16%,21220,235万
21幢,403,110.29,81.79,74.16%,21070,233万
21幢,503,110.29,81.79,74.16%,22020,243万
21幢,603,110.29,81.79,74.16%,21870,242万
21幢,703,110.29,81.79,74.16%,22320,247万
21幢,803,110.29,81.79,74.16%,22170,245万
21幢,903,110.29,81.79,74.16%,22620,250万
21幢,1003,110.29,81.79,74.16%,22470,248万
21幢,1103,110.29,81.79,74.16%,22700,251万
21幢,1203,110.29,81.79,74.16%,22630,250万
21幢,1303,110.29,81.79,74.16%,22860,253万
21幢,1403,110.29,81.79,74.16%,22790,252万
21幢,1503,110.29,81.79,74.16%,23020,254万
21幢,1603,110.29,81.79,74.16%,22950,254万
21幢,1703,110.29,81.79,74.16%,23180,256万
21幢,1803,110.29,81.79,74.16%,23110,255万
21幢,1903,110.29,81.79,74.16%,23340,258万
21幢,2003,110.29,81.79,74.16%,23270,257万
21幢,2103,110.29,81.79,74.16%,23390,258万
21幢,2203,110.29,81.79,74.16%,23370,258万
21幢,2303,110.29,81.79,74.16%,23490,260万
21幢,2403,110.29,81.79,74.16%,23470,259万
21幢,2503,110.29,81.79,74.16%,23590,261万
21幢,2603,110.29,81.79,74.16%,23570,260万
21幢,2703,110.29,81.79,74.16%,23090,255万
